e ɪ̯	A
h ɔː l t ɪ d	h a l t e d
h ɒ l t ə	h a l t e r
h ɔː l t ə	h a l t e r
h æ l t ɪ ə	h a l t e r e
h æ l t ɪ ɹ iː z	h a l t e r e
h æ l t ɪ ɹ iː z	h a l t e r e s
h ɒ l t s	h a l t s
h ɔː l t s	h a l t s
h æ l j ɑː ɹ d	h a l y a r d
h æ l j ə ɹ d	h a l y a r d
h æ m	h a m
h æ m ə d ɹ a ɪ æ d	h a m a d r y a d
h æ m ə d r a ɪ ə s	h a m a d r y a s
h ə m ɒ l	h a m a l
h ə m ɔː l	h a m a l
h ə m ɑː t i ə	h a m a r t i a
h e ɪ m e ɪ t	h a m a t e
h æ m e ɪ t	h a m a t e
h æ m b o ʊ n ə d	h a m b o n e d
h æ m b ə ɡ ə	h a m b u r g e r
h æ m b ɜː ɡ ə	h a m b u r g e r
h a m f a t	h a m f a t
h e ɪ m ɪ f ɔː m	h a m i f o r m
h æ m l ɪ t	h a m l e t
h æ m ə ɹ	h a m m e r
h æ m ə k ɹ a ɪ s ɒ s	h a m m o c h r y s o s
h æ m ə k	h a m m o c k
h æ m p ə	h a m p e r
h æ m s ə	h a m s a
h ɑ m s ə	h a m s a
h æ m s t ɹ ɪ ŋ	h a m s t r i n g
h æ m j ʊ l ə ʊ z	h a m u l o s e
h e ɪ n	h a n
h æ n	h a n
h ɑː n a ɪ	h a n a i
h ɑː n s	h a n c e
h æ n t͡ʃ	h a n c h
h ɑː n t͡ʃ	h a n c h
h æ n d	h a n d
h æ n d æ k u t ɛ n	h a n d a k u t e n
h ɑː n d ɑː k u t ɛ n	h a n d a k u t e n
h æ m b ə ɡ	h a n d b a g
h æ n d b æ ɡ	h a n d b a g
h æ n d k l ɒ θ	h a n d c l o t h
h æ n d k ʌ f	h a n d c u f f
h æ n d ɪ d	h a n d e d
h æ n d ɛ ɡ	h a n d e g g
h æ n d ɛ ɡ z	h a n d e g g s
h æ n d ə ɹ	h a n d e r
h æ n d f ə l	h a n d f u l
h æ n d f ʊ l	h a n d f u l
h ɑː n d i	h a n d i
h æ n d i k æ p	h a n d i c a p
h æ n d ɪ k e ɪ p ə b l̩	h a n d i c a p a b l e
h æ n d ɪ k æ p ə b l̩	h a n d i c a p p a b l e
h æ n d ɪ k ɹ æ f t	h a n d i c r a f t
h æ n d ɪ k ɹ ɑː f t	h a n d i c r a f t
h æ n d ɪ ŋ	h a n d i n g
h æ n d i w ɜː k	h a n d i w o r k
h æ ŋ k ə t ʃ iː f	h a n d k e r c h i e f
h æ ŋ k ə t ʃ ɪ f	h a n d k e r c h i e f
h æ n d l æ ŋ ə	h a n d l a n g e r
h æ n d l̩	h a n d l e
h ɛ ə n d l̩	h a n d l e
h æ n d ə l b ɑː	h a n d l e b a r
h æ n d l̩ d	h a n d l e d
h æ n d l̩ l ə s	h a n d l e l e s s
h æ n d l ə	h a n d l e r
h æ n d l ə s	h a n d l e s s
h æ n d l ɪ ŋ	h a n d l i n g
h æ n d l̩ ɪ ŋ	h a n d l i n g
h æ n d m e ɪ d	h a n d m a d e
h æ n d a ʊ t	h a n d o u t
h æ n d p ɹ ɪ n t	h a n d p r i n t
h æ n d z	h a n d s
h æ n d s ə l	h a n d s e l
h æ n s ə l	h a n d s e l
h æ n d s ɛ t	h a n d s e t
h æ n d s ə m	h a n d s o m e
h æ n s ə m	h a n d s o m e
h æ n t s ə m	h a n d s o m e
h æ n d s ə m l i	h a n d s o m e l y
h æ n s ə m n ə s	h a n d s o m e n e s s
h æ n d s t æ n d	h a n d s t a n d
h æ n d z i	h a n d s y
h a n d w e ɪ v ɪ ŋ	h a n d w a v i n g
h a n d w e ɪ v i ə m	h a n d w a v i u m
h æ n d w e ɪ v i	h a n d w a v y
h æ n d ɹ ɪ t	h a n d w r i t
h æ n d ɹ a ɪ t ɪ ŋ	h a n d w r i t i n g
h æ n d i	h a n d y
h æ n d i m æ n	h a n d y m a n
h æ ŋ	h a n g
h æ ŋ ə	h a n g a r
h æ ŋ d	h a n g e d
h a ŋ ɡ ə	h a n g e r
h æ ŋ ə	h a n g e r
h æ ŋ ɪ ŋ	h a n g i n g
h æ ŋ n e ɪ l	h a n g n a i l
h æ ŋ ə ʊ v ə	h a n g o v e r
h æ ŋ ɡ ɹ i	h a n g r y
h æ ŋ ɡ z a ɪ ə t i	h a n g x i e t y
h æ ŋ k	h a n k
h æ ŋ k ə ɹ	h a n k e r
h æ ŋ k i	h a n k i e
h æ ŋ k i	h a n k y
h æ n s	h a n s e
h æ n z ə	h a n s e
h ɑː ɒ ɹ	h a o r
h æ p	h a p
h æ p h æ z ə d	h a p h a z a r d
h æ p h æ z ə d l i	h a p h a z a r d l y
h æ f ɪ f ə ʊ b i ə	h a p h e p h o b i a
h æ p l ɪ s	h a p l e s s
h æ p l ɒ ɡ ɹ ə f i	h a p l o g r a p h y
h æ p l ə d͡ʒ i	h a p l o g y
h æ p l ɒ l ə d͡ʒ i	h a p l o l o g y
h a p l ə ʊ t a ɪ p	h a p l o t y p e
h æ p l i	h a p l y
h æ p t	h a p p e d
h æ p ə n	h a p p e n
h æ p ə n d	h a p p e n e d
h æ p n ɪ ŋ	h a p p e n i n g
h æ p ə n ɪ ŋ	h a p p e n i n g
h æ p ɪ n ɪ ŋ	h a p p e n i n g
h æ p ə n z	h a p p e n s
h a p ə n s t a n s	h a p p e n s t a n c e
h æ p i ə	h a p p i e r
h æ p ɪ ə	h a p p i e r
h æ p i ɪ s t	h a p p i e s t
h æ p ə l i	h a p p i l y
h æ p i n ə s	h a p p i n e s s
h æ p i n ɪ s	h a p p i n e s s
h æ p i	h a p p y
h æ p t ɪ k	h a p t i c
h æ p t ɪ k s	h a p t i c s
h a p uː	h a p u
h ɑː p uː	h a p u
h ə ɹ ɑː m	h a r a m
h ɑ ɹ ə m ɑ k i	h a r a m a k i
h ə ɹ æ ŋ	h a r a n g u e
a ɹ ɑː	h a r a s
h a ɹ ə s	h a r a s
h æ ɹ ə s	h a r a s s
h ə ɹ æ s	h a r a s s
h æ ɹ ə s m ə n t	h a r a s s m e n t
h ə ɹ æ s m ə n t	h a r a s s m e n t
h ɑː b ɪ n d͡ʒ	h a r b i n g e
h ɑː b ɪ n d ʒ ə	h a r b i n g e r
h ɑː b ə	h a r b o r
h ɑː d	h a r d
h ɑː ɹ d k ɔː ɹ	h a r d c o r e
h ɑː d n̩	h a r d e n
h ɑː d n̩ d	h a r d e n e d
h ɑː d n̩ ə	h a r d e n e r
h ɑː d ə n ə	h a r d e n e r
h ɑː d ə	h a r d e r
h ɑː d ɪ s t	h a r d e s t
h ɑː d ɪ m ə n t	h a r d i m e n t
h ɑː ɹ d l a ɪ n	h a r d l i n e
h ɑː d l i	h a r d l y
h ɑː d n ə s	h a r d n e s s
h ɑː d z	h a r d s
h ɑː d ʃ ɪ p	h a r d s h i p
h ɑː ɹ d s t æ n d	h a r d s t a n d
h ɑː d w ɛ ə	h a r d w a r e
h ɑː d i	h a r d y
h ɛ ə	h a r e
h ɛ ɚ	h a r e
h ɛː	h a r e
h ɑː ɹ iː m	h a r e m
h ɛ ə ɹ ə m	h a r e m
h ə ɹ ɛ n d ʒ ɪ f ɔː ɹ m	h a r e n g i f o r m
h ə ɹ ɛ ŋ ɡ ɪ f ɔː ɹ m	h a r e n g i f o r m
h æ ɹ ɪ k ə ʊ	h a r i c o t
ɑː ɹ ɪ k ə ʊ	h a r i c o t
h ə ɹ iː s ə	h a r i s s a
h ə ɹ ɪ s ə	h a r i s s a
h ɑː ɹ k	h a r k
h ɑː k ə n	h a r k e n
h ɑː l	h a r l
h ɑː l ɪ k w ɪ n	h a r l e q u i n
h ɑː l ə k w ɪ n e ɪ d	h a r l e q u i n a d e
h ɑː l ə t	h a r l o t
h ɑː m	h a r m
h ɑː m æ t ə n	h a r m a t t a n
h ɑː m ə t æ n	h a r m a t t a n
h ɑː m d	h a r m e d
h ɑː m f l̩	h a r m f u l
h ɑː m l ə s	h a r m l e s s
h ɑː m l ə s l i	h a r m l e s s l y
h ɑː ɹ m ɒ n ɪ k	h a r m o n i c
h ɑ ɹ m ɒ n ɪ k ə	h a r m o n i c a
h ɑː ɹ m ɒ n ɪ s ɪ s t	h a r m o n i c i s t
h ɑː m ə ʊ n i ə s	h a r m o n i o u s
h ɑː ɹ m ə ʊ n i ə m	h a r m o n i u m
h ɑː m ə n i	h a r m o n y
h ɑː n ə s	h a r n e s s
h ɑː ɹ n ə s ɪ z	h a r n e s s e s
h ɑ ɹ n i z o ʊ	h a r n i z o
h ə ɹ ə ʊ s ɛ t	h a r o s e t h
h ə ɹ ə ʊ s ɛ θ	h a r o s e t h
h ɑː p	h a r p
h ɑː ɹ p ə ɡ ɒ n	h a r p a g o n
h ɑː ɹ p ɛ d͡ʒ i	h a r p e j j i
h ɑː ɹ p ə ɹ	h a r p e r
h ɑː p ɪ ŋ	h a r p i n g
h ɑː p uː n	h a r p o o n
h ɑː ɹ p s ɪ k ɔː ɹ d	h a r p s i c h o r d
h ɑː p i	h a r p y
h ɑ ɹ k w ɪ b ʌ s	h a r q u e b u s
h ɑ ɹ k ɪ b ʌ s	h a r q u e b u s
h æ ɹ ɪ d͡ʒ	h a r r a g e
h æ ɹ ə s	h a r r a s
h æ ɹ ɪ d ə n	h a r r i d a n
h æ ɹ i ə ɹ	h a r r i e r
h æ ɹ ɪ s	h a r r i s
h æ ɹ ə ʊ	h a r r o w
h æ ɹ ə ʊ i ŋ	h a r r o w i n g
h æ ɹ i	h a r r y
h ɑː ʃ	h a r s h
h ɑː ʃ l i	h a r s h l y
h ɑː t	h a r t
h ɑː t ɑː l	h a r t a l
h ɑː t ə b iː s t	h a r t e b e e s t
h ɑː ɹ t ə n	h a r t e n
h ɑː t s h ɔː n	h a r t s h o r n
h ə ɹ ʌ m p f	h a r u m p h
h æ ɹ ʊ s p ɪ s iː z	h a r u s p i c e s
h ə ɹ ʌ s p ɪ s i	h a r u s p i c y
h ɑː ɹ v ə s t	h a r v e s t
h ɑː ɹ v ɪ s t	h a r v e s t
h æ z b i ə n	h a s b i a n
h æ ʃ	h a s h
h a ʃ h a ʊ s	h a s h h o u s e
h æ ʃ iː ʃ	h a s h i s h
h æ ʃ ɪ ʃ	h a s h i s h
h ə ʃ iː ʃ	h a s h i s h
h l æ ʃ i	h a s h y
h e ɪ s l ɪ t	h a s l e t
h e ɪ z l ɪ t	h a s l e t
h æ s l ɪ t	h a s l e t
h æ z l ɪ t	h a s l e t
h æ s p	h a s p
h ɑː s p	h a s p
h æ s i ə m	h a s s i u m
h æ s l̩	h a s s l e
h a s ə k	h a s s o c k
h æ s t	h a s t
h æ s t ə	h a s t a
h ʌ s t ə	h a s t a
ɑː s t ə	h a s t a
h æ s t e ɪ t	h a s t a t e
h e ɪ s t	h a s t e
h e ɪ s ə n	h a s t e n
h e ɪ s n̩ d	h a s t e n e d
h e ɪ s t ɪ l i	h a s t i l y
h e ɪ s t ɪ ŋ z	h a s t i n g s
h e ɪ s t i	h a s t y
h æ t	h a t
h æ t͡ʃ	h a t c h
h a t t͡ʃ ɛ k	h a t c h e c k
h æ t t͡ʃ ɛ k	h a t c h e c k
h æ t͡ʃ ə ɹ i	h a t c h e r y
h æ t͡ʃ ɪ t	h a t c h e t
h æ t͡ʃ m ə n t	h a t c h m e n t
h e ɪ t	h a t e
h e ɪ t ɪ d	h a t e d
h e ɪ t f ə l	h a t e f u l
h e ɪ t ə ɹ	h a t e r
h e ɪ t s	h a t e s
h e ɪ t w ɜː ð i	h a t e w o r t h y
h æ θ	h a t h
h æ t ɪ n e ɪ t ə ɹ	h a t i n a t o r
h e ɪ t ɪ ŋ	h a t i n g
h e ɪ t ə ɹ e ɪ d	h a t o r a d e
h e ɪ t ɹ ɪ d	h a t r e d
h æ t s	h a t s
h æ t ə ɹ	h a t t e r
h ɔː b ɜː ɹ k	h a u b e r k
h ɔː t	h a u g h t
h ɔː t i	h a u g h t y
h ɔː l	h a u l
h ɔː l ə d͡ʒ	h a u l a g e
h ɔː l i ə ɹ	h a u l i e r
h ɒ m	h a u l m
h ɔː m	h a u l m
h ɔː m i	h a u l m y
h ɒ n t͡ʃ	h a u n c h
h ɔː n t͡ʃ	h a u n c h
h ɔː n t	h a u n t
h ɔː n t ɪ d	h a u n t e d
h ɔː n t ə l ɒ d ʒ ɪ k ə l	h a u n t o l o g i c a l
h ɔː n t ɒ l ə d ʒ i	h a u n t o l o g y
h ɔː ɹ ɪ ə n t	h a u r i a n t
h ɔː s	h a u s e
h o ʊ s	h a u s s e
h ɔː s t ɹ ə m	h a u s t r u m
h ɔː t	h a u t
h ə ʊ b ɔ ɪ	h a u t b o y
h ə ʊ b ɔ ɪ ɪ s t	h a u t b o y i s t
ə ʊ t	h a u t e
ɔː t ɜː	h a u t e u r
ə ʊ t ɜː	h a u t e u r
ə ʊ p ɑː	h a u t p a s
h æ v ə b l̩	h a v a b l e
h æ f	h a v e
h æ v	h a v e
h æ v i ŋ	h a v e i n g
h e ɪ v ə n	h a v e n
h e ɪ v ə	h a v e r
h æ v ə	h a v e r
h e ɪ v ə ɹ ɪ ŋ	h a v e r i n g
h æ v z	h a v e s
h a v ɪ l d ɑː	h a v i l d a r
h æ v ɪ ŋ	h a v i n g
h æ v ə k	h a v o c
h ɔː	h a w
h ə w a ɪ a ɪ t	h a w a i i t e
h ə w ɑː l ə	h a w a l a
h ɔː d	h a w e d
h ɔː k	h a w k
h ɔː k ə	h a w k e r
h ɔː k ɪ ʃ	h a w k i s h
h ə w ɜː ɹ θ i ə	h a w o r t h i a
h ɔː z	h a w s e
h ɔː θ ɔː n	h a w t h o r n
h æ k s	h a x
h e ɪ	h a y
h e ɪ b ə ʊ t	h a y b o t e
h e ɪ	h a y e
h e ɪ j i	h a y e y
h e ɪ l ɪ d͡ʒ	h a y l a g e
h e ɪ s t æ k	h a y s t a c k
h e ɪ w ə ɹ d	h a y w a r d
h e ɪ w a ɪ ə ɹ	h a y w i r e
h a z ə d	h a z a r d
h e ɪ z	h a z e
h e ɪ z ə l	h a z e l
h e ɪ z ə l n ʌ t	h a z e l n u t
h e ɪ z ə l w ʊ d	h a z e l w o o d
h e ɪ z ɪ ŋ	h a z i n g
h e ɪ z i	h a z y
h e ɪ	h e
h i	h e
h iː	h e
i	h e
h ɛ d	h e a d
h ɛ d e ɪ k	h e a d a c h e
h ɛ d b æ n d	h e a d b a n d
h ɛ d b ʌ t	h e a d b u t t
h ɛ d d ɛ s k	h e a d d e s k
h ɛ d ɪ d	h e a d e d
h ɛ d ə	h e a d e r
h ɛ d ə z	h e a d e r s
h ɛ d ɡ ɪ ə ɹ	h e a d g e a r
h ɛ d ɪ ŋ	h e a d i n g
h ɛ d ɪ ŋ z	h e a d i n g s
h ɛ d l ə n d	h e a d l a n d
h ɛ d l ə s	h e a d l e s s
h ɛ d l a ɪ n	h e a d l i n e
h ɛ d l a ɪ n i z	h e a d l i n e s e
h ɛ d l ɒ ŋ	h e a d l o n g
h ɛ d m ɑː s t ə	h e a d m a s t e r
h ɛ d f ə ʊ n	h e a d p h o n e
h ɛ d k w ɔː t ə z	h e a d q u a r t e r s
h ɛ d ɹ ʌ ɪ t	h e a d r i g h t
h ɛ d ɹ ʌ ʃ ɪ ŋ	h e a d r u s h i n g
h ɛ d z	h e a d s
h ɛ d s e ɪ l	h e a d s a i l
h ɛ d s ə l	h e a d s a i l
h ɛ d s ɛ t	h e a d s e t
h ɛ d s a ɪ n	h e a d s i g n
h ɛ d s t ɔː l	h e a d s t a l l
h ɛ d t a ɪ ə ɹ	h e a d t i r e
h ɛ d w ɪ n d	h e a d w i n d
h ɛ d w ɜː d	h e a d w o r d
h ɛ d i	h e a d y
h iː l	h e a l
h iː l d	h e a l e d
h iː l ə ɹ	h e a l e r
h iː l ɪ ŋ	h e a l i n g
h iː l ɪ ŋ z	h e a l i n g s
h iː l z	h e a l s
h ɛ l θ	h e a l t h
h ɛ l θ iː ə	h e a l t h i e r
h ɛ l θ i ɪ s t	h e a l t h i e s t
h ɛ l θ i	h e a l t h y
h iː m	h e a m
h iː n	h e a n
h eː p	h e a p
h iː p	h e a p
h iː p t	h e a p e d
h iː p ɪ ŋ	h e a p i n g
h iː p s	h e a p s
h ɪ ə ɹ	h e a r
h ɪ ə ɹ ə b ə l	h e a r a b l e
h ɪ ə ɹ ə b l i	h e a r a b l y
h ɜː d	h e a r d
h ɪ ə ɹ ɪ ŋ	h e a r i n g
h ɪː ɹ ɪ ŋ	h e a r i n g
h ɑː k ə n	h e a r k e n
h ɪ ə n	h e a r n
h ɪ ə ɹ z	h e a r s
h ɪ ə r s e ɪ	h e a r s a y
h ɜː s	h e a r s e
h ɑː t	h e a r t
h ɑː t e ɪ k	h e a r t a c h e
h ɑː t b iː t	h e a r t b e a t
h ɑː t b ɹ e ɪ k	h e a r t b r e a k
h ɑː t b ɹ e ɪ k ə	h e a r t b r e a k e r
h ɑː t n̩	h e a r t e n
h ɑː t f ɛ l t	h e a r t f e l t
h ɑː θ	h e a r t h
h ɑː θ s t ə ʊ n	h e a r t h s t o n e
h ɑː t ɪ l i	h e a r t i l y
h ɑː t l ə n d	h e a r t l a n d
h ɑː t l ɪ s	h e a r t l e s s
h ɑː t l ɪ s n ə s	h e a r t l e s s n e s s
h ɑː t l i	h e a r t l y
h ɑː t s	h e a r t s
h ɑː t s t ɹ ɪ ŋ z	h e a r t s t r i n g s
h ɑː ɹ t s w ɛ l ɪ ŋ	h e a r t s w e l l i n g
h ɑː t h ə ʊ l	h e a r t w h o l e
h ɑː t i	h e a r t y
h iː t	h e a t
h iː t ɪ d	h e a t e d
h iː t ə	h e a t e r
h iː θ	h e a t h
h iː ð ə n	h e a t h e n
h iː ð ə n ə s	h e a t h e n e s s e
h iː ð ə n z	h e a t h e n s
h ɛ ð ə	h e a t h e r
h iː θ ə ɹ i	h e a t h e r y
h ɛ ð ə ɹ i	h e a t h e r y
h iː t ɪ ŋ	h e a t i n g
h iː t ɪ ŋ z	h e a t i n g s
h iː t s	h e a t s
h iː t i	h e a t y
h ə ʊ m	h e a u m e
h ə ʊ m z	h e a u m e s
h iː v ɪ d͡ʒ	h e a v a g e
h iː v	h e a v e
h iː v d	h e a v e d
h ɛ v ə n	h e a v e n
h ɛ v ə n l i	h e a v e n l y
h ɛ v ə n z	h e a v e n s
h iː v ə ɹ	h e a v e r
h iː v z	h e a v e s
h ɛ v ɪ ə	h e a v i e r
h ɛ v ɪ l i	h e a v i l y
h ɛ v ɪ n ə s	h e a v i n e s s
h iː v ɪ ŋ	h e a v i n g
h iː v ɪ ŋ z	h e a v i n g s
h iː v i	h e a v y
h ɛ v i	h e a v y
h ɛ v i w e ɪ t	h e a v y w e i g h t
h ɛ b d ə m æ d	h e b d o m a d
h ɛ b d ɒ m ə d ə l	h e b d o m a d a l
h ɛ b d ə m e ɪ d	h e b d o m a d e
h iː b ɪ f ɹ iː n ɪ ə	h e b e p h r e n i a
h ɛ b ɪ t ə n t	h e b e t a n t
h ɛ b ə t j uː d	h e b e t u d e
h ɛ k ə t uː m	h e c a t o m b
h ɛ k ə t ɔ n a ɪ k o ʊ s ɪ k o ʊ ɹ ɔ n	h e c a t o n i c o s a c h o r o n
h ɛ k ʃ ə ɹ	h e c h s h e r
h ɛ k	h e c k
h ɛ k ə	h e c k a
h ɛ k ə l	h e c k l e
h ɛ k ə v ə	h e c k u v a
h ɛ k t e ɪ k ə ɹ	h e c t a c r e
h ɛ k t æ d	h e c t a d
h ɛ k t ɑː	h e c t a r e
h ɛ k t ɛ ə	h e c t a r e
h ɛ k t ɪ k	h e c t i c
h ɛ k t ə	h e c t o r
h ɛ d ə ɹ ə	h e d e r a
h ɛ d͡ʒ	h e d g e
h ɛ d͡ʒ d	h e d g e d
h ɛ d͡ʒ h ɒ ɡ	h e d g e h o g
h ɛ d͡ʒ h ɒ ɡ ɪ n ə s	h e d g e h o g g i n e s s
h ɛ d͡ʒ h ɒ ɡ i	h e d g e h o g g y
h ɛ d͡ʒ ɪ z	h e d g e s
h ɛ d͡ʒ ɪ ŋ	h e d g i n g
h ɛ d͡ʒ ɪ ŋ z	h e d g i n g s
h iː d ə n ɪ k	h e d o n i c
h ɛ d ə n ɪ z ə m	h e d o n i s m
h iː d ə n ɪ s t	h e d o n i s t
h ɛ d ə n ɪ s t	h e d o n i s t
h ɛ d ə n ɪ s t ɪ k	h e d o n i s t i c
h iː b	h e e b
h iː d	h e e d
h iː d ə n s	h e e d a n c e
h iː d ɪ d	h e e d e d
h iː d f ə l i	h e e d f u l l y
h iː d ɪ n ə s	h e e d i n e s s
h iː d ɪ ŋ	h e e d i n g
h iː d l ə s	h e e d l e s s
h iː d z	h e e d s
h iː l	h e e l
h iː l d	h e e l e d
h iː l ɪ ŋ	h e e l i n g
h iː l z	h e e l s
h ɛ f ə l ʌ m p	h e f f a l u m p
h ɛ f t	h e f t
h ɛ f t i	h e f t y
h ɛ d͡ʒ ɪ m ɒ n ɪ k	h e g e m o n i c
h ɛ ɡ ɪ m ɒ n ɪ k	h e g e m o n i c
h ɪ d͡ʒ ɛ m ə n i	h e g e m o n y
h ɪ ɡ ɛ m ə n i	h e g e m o n y
h ɛ d͡ʒ ɪ ɹ ə	h e g i r a
h e ɪ a ʊ	h e i a u
h ɛ f ə ɹ	h e i f e r
h ɛ f ɚ	h e i f e r
h ɛ f ə ɹ h ʊ d	h e i f e r h o o d
h ɛ f ɚ h ʊ d	h e i f e r h o o d
h e ɪ	h e i g h
h a ɪ t	h e i g h t
h a ɪ̯ t ə n	h e i g h t e n
h a ɪ t ə n d	h e i g h t e n e d
h a ɪ t θ	h e i g h t h
h a ɪ θ	h e i g h t h
h a ɪ t s	h e i g h t s
h a ɪ l	h e i l
h a ɪ l ɪ ɡ ə n ʃ a ɪ n	h e i l i g e n s c h e i n
h a ɪ n i	h e i n i e
h e ɪ n ə s	h e i n o u s
h iː n ə s	h e i n o u s
ɛ ə	h e i r
ɛ ə ɹ d ə m	h e i r d o m
ɛ ə ɹ ɛ s	h e i r e s s
ɛ ə l uː m	h e i r l o o m
h a ɪ z ə n b ʌ ɡ	h e i s e n b u g
h a ɪ s t	h e i s t
h a ɪ s t ɪ d	h e i s t e d
h a ɪ s t ɪ ŋ	h e i s t i n g
h a ɪ s t s	h e i s t s
h e ɪ t a	h e i t a
h e ɪ t i	h e i t i
h ɛ l d	h e l d
h iː l	h e l e
h iː l d	h e l e d
h e ɪ l ɪ k	h e l e k
h iː l z	h e l e s
h iː l iː æ n θ ə s	h e l i a n t h u s
h iː l ɪ k ə l	h e l i c a l
h ɛ l ɪ k ə l	h e l i c a l
h ɛ l i k ɒ p t ə ɹ	h e l i c o p t e r
h ɛ l ɪ k ɒ p t ə ɹ	h e l i c o p t e r
h ɛ l i m æ ɡ n ɛ t ɪ k	h e l i m a g n e t i c
h iː l ɪ ŋ	h e l i n g
h iː l i ə ʊ s ɛ n t ɹ ɪ k	h e l i o c e n t r i c
h iː l i ə d ɔː ɹ	h e l i o d o r
h i l i ɑ l ə t ɹ i	h e l i o l a t r y
h iː l i ə p ɔː ɹ	h e l i o p o r e
h iː l j ə p ɔː ɹ	h e l i o p o r e
h iː l i ə t ɹ ə ʊ p	h e l i o t r o p e
h iː l i ə m	h e l i u m
h iː l ɪ k s	h e l i x
h ɛ l	h e l l
h ɛ l e ɪ ʃ ə s	h e l l a c i o u s
h ɛ l b a ʊ n d	h e l l b o u n d
h ɛ l ɪ b ɔː	h e l l e b o r e
h ɛ l f a ɪ ə	h e l l f i r e
h ɛ l h a ʊ n d	h e l l h o u n d
h ɛ l i ə n	h e l l i o n
h ɛ l ɪ ʃ	h e l l i s h
h ə l ə ʊ	h e l l o
h ɛ l ə ʊ	h e l l o
h ɛ l z	h e l l s
h ɛ l s k e ɪ p	h e l l s c a p e
h ɛ l j uː ə ʊ	h e l l u o
h ɛ l ə v ə	h e l l u v a
h ɛ l m	h e l m
h ɛ l m ə t	h e l m e t
h ɛ l m ɪ t	h e l m e t
h ɛ l m ɪ n θ	h e l m i n t h
h ɛ l m z	h e l m s
h ɛ l ə f a ɪ t	h e l o p h y t e
h ɛ l ə t	h e l o t
h ɛ l p	h e l p
h ɛ l p t	h e l p e d
h ɛ l p f ə l	h e l p f u l
h ɛ l p f ʊ l	h e l p f u l
h ɛ l p f ə l i	h e l p f u l l y
h ɛ l p ɪ ŋ	h e l p i n g
h ɛ l p ɪ ŋ z	h e l p i n g s
h ɛ l p l ɪ s	h e l p l e s s
h ɛ l p l ə s l i	h e l p l e s s l y
h ɛ l p s	h e l p s
h ɛ l v	h e l v e
h ɛ m	h e m
h ɪ m	h e m
h iː m ə p ɒ f ɪ s ɪ s	h e m a p o p h y s i s
h ɛ m ə p ɒ f ɪ s ɪ s	h e m a p o p h y s i s
h iː m ə t ɪ n	h e m a t i n
h iː m ə t ɪ n ɪ k	h e m a t i n i c
h iː m ə t a ɪ t	h e m a t i t e
h ɛ m ə t a ɪ t	h e m a t i t e
h ɪ m æ t ə k ɹ ɪ t	h e m a t o c r i t
h ɪ m æ t ə ɡ ə ʊ n	h e m a t o g o n e
h i m ə t ɒ l ə d͡ʒ i	h e m a t o l o g y
h iː m ə t ɒ f ə d ʒ ɪ	h e m a t o p h a g y
h iː m ə t ɒ f ə ɡ ɪ	h e m a t o p h a g y
h iː m ə t o ʊ p ɔ ɪ iː s ɪ s	h e m a t o p o i e s i s
h iː m ə t ɒ k s ɪ l ɪ n	h e m a t o x y l i n
h iː m	h e m e
h ɛ m ə ɹ ɒ l ə d͡ʒ i	h e m e r o l o g y
h i m ɪ k	h e m i c
h ɛ m ɪ k ɹ ɪ p t ə ʊ f a ɪ t	h e m i c r y p t o p h y t e
h ɛ m i m ɛ θ ɪ l e ɪ t ɪ d	h e m i m e t h y l a t e d
h i m ɪ n	h e m i n
h ɛ m i ə ʊ n	h e m i o n e
h ɛ m ɪ p iː n ɪ s	h e m i p e n i s
h ɛ m ɪ s f ɪ ə	h e m i s p h e r e
h ɛ m l ɒ k	h e m l o c k
h ɛ m ə l	h e m m e l
h iː m ə ʊ ə d z ɔː ɹ b ə ɹ	h e m o a d s o r b e r
h iː m ə ʊ k ɔː ɹ i ə ʊ ɛ n d ə ʊ θ iː l i ə l	h e m o c h o r i o e n d o t h e l i a l
h iː m ə ʊ k ɹ ə ʊ m ə t ə ʊ s ɪ s	h e m o c h r o m a t o s i s
h iː m ə ʊ s a ɪ t ɒ m ɪ t ə	h e m o c y t o m e t e r
h i m o ʊ d a ɪ n æ m ɪ k	h e m o d y n a m i c
h i m o ʊ d a ɪ n æ m ɪ k s	h e m o d y n a m i c s
h iː m ə ʊ ɡ l ə ʊ b ɪ n	h e m o g l o b i n
h iː m ə p ɔ ɪ ɛ t ɪ k	h e m o p o i e t i c
h ɛ m ə ɹ ɪ d͡ʒ	h e m o r r h a g e
h ɛ m ə ɹ ɪ d͡ʒ ɪ p ə ɹ ə s	h e m o r r h a g i p a r o u s
h ɛ m ə ɹ ɔ ɪ d	h e m o r r h o i d
h ɛ m ɹ ɔ ɪ d	h e m o r r h o i d
h ɛ m ə ɹ ɔ ɪ d z	h e m o r r h o i d s
h iː m ə ʊ s ɪ d ə ɹ ə ʊ s ɪ s	h e m o s i d e r o s i s
h iː m ɒ s t ə s ɪ s	h e m o s t a s i s
h iː m ə s t e ɪ s ɪ s	h e m o s t a s i s
h iː m ə v ɔː ɹ	h e m o v o r e
h ɛ m p	h e m p
h ɛ m ɹ ɔ ɪ d	h e m r o i d
h ɛ n	h e n
h ɛ n ə ɡ ɒ n	h e n a g o n
h ɛ n ə ɡ ə n	h e n a g o n
h ɛ n b e ɪ n	h e n b a n e
h ɛ n s	h e n c e
